series_id,value,date,item
CUUR0000SETG01   ,179.9,1994-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,177.8,1994-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,175.3,1994-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,179.5,1995-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,181.4,1995-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,188.5,1995-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,191.2,1995-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,191.2,1995-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,200.4,1995-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,199.2,1995-07-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,191.6,1995-08-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,189.7,1995-09-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,193.7,1995-10-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,191.5,1995-11-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,178.4,1995-12-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,179.4,1996-01-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,188.4,1996-02-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,187.9,1996-03-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,187.7,1996-04-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,189.2,1996-05-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,192.1,1996-06-01 00:00:00+00:00,Airline fares
CUUR0000SETG01   ,192.9,1996-07-01 00:00:00+00:00,Airline fares
